index,ID,DATE,TO USER ACCOUNT,FROM USER ACCOUNT,REASON,SCORE 1,SCORE 2,SCORE 3,SCORE 4,DUPLICATE ID 1,DUPLICATE ID 2,DUPLICATE ID 3,DUPLICATE ID 4,DISMISSED 1,DISMISSED 2,DISMISSED 3,DISMISSED 4,QUANTIFIER 1 USERNAME,QUANTIFIER 2 USERNAME,QUANTIFIER 3 USERNAME,QUANTIFIER 4 USERNAME,AVG SCORE,SPREAD
699,6256d00b7d6ca6ad95bd56c5,2022-01-12T23:00:00.000Z,Juankbell#7458,Nuggan#5183,for their great Param proposals and debates and of course  for designing the winning one!💪,0,13,8,144,,,,,False,False,False,False,hanners717#2022,missgene#7773,PhilH#1102,bear100#9085,55,144
612,6256d00b7d6ca6ad95bd566e,2022-01-10T23:00:00.000Z,Vyvy-vi#5040,Mount Manu#3530,for helping a lot with all the bot coding and other programming tasks: you’ve made a huge impact in our community already and we thank you for it,0,144,0,0,,,6256d00b7d6ca6ad95bd5645,,False,False,False,True,Mettodo#7010,Tam2140#9361,divine_comedian#5493,bear100#9085,50,144
950,6256d00b7d6ca6ad95bd57c0,2022-01-15T23:00:00.000Z,sem  🐝#0161,Mount Manu#3530,for launching our Commons and crowning more than a year’s worth of work from hundreds of people,144,0,0,0,,6256d00b7d6ca6ad95bd56a6,6256d00b7d6ca6ad95bd576b,,False,False,False,False,Zeptimus#3359,bends#3537,tigeroid#2951,innov8tor3#3988,50,144
951,6256d00b7d6ca6ad95bd57c1,2022-01-15T23:00:00.000Z,elessar.eth#7945,Mount Manu#3530,for launching our Commons and crowning more than a year’s worth of work from hundreds of people,144,0,0,0,,,,,False,True,True,False,Zeptimus#3359,lee0007#8152,shawn#7046,"griff (💜, 💜)#8888",48,144
507,6256d00b7d6ca6ad95bd5605,2022-01-10T23:00:00.000Z,Vyvy-vi#5040,Mount Manu#3530,for the incredible work getting our Discord onboarding experience upgraded and in god mode,0,144,55,34,,,,,False,False,False,False,Mettodo#7010,Tam2140#9361,divine_comedian#5493,bear100#9085,77,144
971,6256d00b7d6ca6ad95bd57d5,2022-01-16T23:00:00.000Z,sem  🐝#0161,Mount Manu#3530,for all their hard work in deploying the Commons Upgrade,144,0,0,0,,6256d00b7d6ca6ad95bd56a6,6256d00b7d6ca6ad95bd5733,,False,False,False,False,Zeptimus#3359,bends#3537,tigeroid#2951,innov8tor3#3988,50,144
972,6256d00b7d6ca6ad95bd57d6,2022-01-16T23:00:00.000Z,elessar.eth#7945,Mount Manu#3530,for all their hard work in deploying the Commons Upgrade,144,0,21,0,,,,,False,True,False,False,Zeptimus#3359,lee0007#8152,shawn#7046,"griff (💜, 💜)#8888",55,144
1343,6256d00b7d6ca6ad95bd5949,2022-01-20T23:00:00.000Z,sem  🐝#0161,divine_comedian#5493,for working overtime seeming all the time to get all the commons upgrade pieces deployed,144,8,21,0,,,,,False,False,False,False,Zeptimus#3359,bends#3537,tigeroid#2951,innov8tor3#3988,57,144
1003,6256d00b7d6ca6ad95bd57f5,2022-01-16T23:00:00.000Z,sem  🐝#0161,Mount Manu#3530,for safeguarding our raised funds,144,8,34,0,,,,,False,False,False,False,Zeptimus#3359,bends#3537,tigeroid#2951,innov8tor3#3988,62,144
622,6256d00b7d6ca6ad95bd5678,2022-01-10T23:00:00.000Z,natesuits#4789,Mount Manu#3530,"for crafting the voter’s pamphlet, which is/was a lot of work",34,144,0,0,,,6256d00a7d6ca6ad95bd54c3,,False,False,False,True,Mount Manu#3530,Tam2140#9361,PhilH#1102,bear100#9085,44,144
1353,6256d00b7d6ca6ad95bd5953,2022-01-20T23:00:00.000Z,divine_comedian#5493,Mount Manu#3530,for the contributions to the Rewards System and for this first Praise Quant,5,144,0,0,,,6256d00b7d6ca6ad95bd58ec,,False,False,False,True,zhiwei#1356,Tam2140#9361,liviade#1387,bear100#9085,37,144
1530,6256d00b7d6ca6ad95bd5a04,2022-01-25T23:00:00.000Z,divine_comedian#5493,kristofer#1475,for onboarding close to 30 Praise quantifiers!,8,144,0,34,,,6256d00b7d6ca6ad95bd569e,,False,False,False,False,zhiwei#1356,Tam2140#9361,liviade#1387,bear100#9085,48,144
668,6256d00b7d6ca6ad95bd56a6,2022-01-10T23:00:00.000Z,sem  🐝#0161,Mount Manu#3530,for all the work they’ve been doing behind-the-scenes to make sure we launch the CU in time,144,34,0,0,,,6256d00a7d6ca6ad95bd5574,,False,False,False,False,Zeptimus#3359,bends#3537,tigeroid#2951,innov8tor3#3988,60,144
1599,6256d00b7d6ca6ad95bd5a49,2022-01-26T23:00:00.000Z,Vyvy-vi#5040,liviade#1387,"for the incredible work he's been doing with the praise bot. He reaches a level of details that no one else would have bothered to look into, and this just makes all the difference!",0,144,55,0,,,,6256d00b7d6ca6ad95bd5948,False,False,False,False,Mettodo#7010,Tam2140#9361,divine_comedian#5493,bear100#9085,68,144
