index,ID,DATE,TO USER ACCOUNT,FROM USER ACCOUNT,REASON,SCORE 1,SCORE 2,SCORE 3,SCORE 4,DUPLICATE ID 1,DUPLICATE ID 2,DUPLICATE ID 3,DUPLICATE ID 4,DISMISSED 1,DISMISSED 2,DISMISSED 3,DISMISSED 4,QUANTIFIER 1 USERNAME,QUANTIFIER 2 USERNAME,QUANTIFIER 3 USERNAME,QUANTIFIER 4 USERNAME,AVG SCORE,SPREAD
441,621f79e243b89009366c94cb,2021-10-07T22:00:00.000Z,Juankbell#7458,iviangita#3204,for putting on all the Graviton curriculum together,13,0,144,8,,621f79e243b89009366c9494,,,False,False,False,False,hanners717#2022,divine_comedian#5493,bear100#9085,osycross(🦎🦎)#5943,41,144
1255,621f79e343b89009366c984c,2021-10-22T22:00:00.000Z,pKrepe#5682,Mount Manu#3530,for their hard development work in the CCD,0,0,55,144,621f79e343b89009366c9793,621f79e243b89009366c930c,,,False,False,False,False,AmwFund#0979,Parrachia#0450,kristofer#1475,Vyvy-vi#5040,50,144
1416,621f79e343b89009366c9908,2021-10-28T22:00:00.000Z,pKrepe#5682,iviangita#3204,for all the work that’s happening in params and they’ve done such an incredible job - the Param Parties is one of the coolest things we’ve done yet!,21,0,8,144,,621f79e243b89009366c9303,,,False,False,False,False,AmwFund#0979,Parrachia#0450,kristofer#1475,Vyvy-vi#5040,43,144
1561,621f79e343b89009366c9999,2021-10-28T22:00:00.000Z,akrtws (TE Academy)#4246,iviangita#3204,for the success of Token Engineering Academy,144,144,8,34,,,,,False,False,False,False,liviade#1387,Parrachia#0450,Nuggan#5183,Vyvy-vi#5040,82,136
1609,621f79e343b89009366c99d0,2021-10-28T22:00:00.000Z,akrtws (TE Academy)#4246,heater#9765,"for keeping projects, companies, and really smart people excited about supporting education for TEs!",55,21,13,144,,,,,False,False,False,False,liviade#1387,Parrachia#0450,Nuggan#5183,Vyvy-vi#5040,58,131
661,621f79e243b89009366c95ac,2021-10-09T22:00:00.000Z,divine_comedian#5493,"griff (💜, 💜)#8888",for working on Sunday in the Params hack sesh FOR 5 HOURS! Even tho it's only supposed to be 4 hours!,89,0,13,0,,621f79e243b89009366c9300,,,False,False,False,False,hanners717#2022,Parrachia#0450,lee0007#8152,Vyvy-vi#5040,35,89
494,621f79e243b89009366c9500,2021-10-07T22:00:00.000Z,Nuggan#5183,iviangita#3204,"for all the work they do in the Params WG: designing, coding, validating, and troubleshooting!",34,21,89,21,,,,,False,False,False,False,Sha#6179,Maxwe11#7157,bear100#9085,osycross(🦎🦎)#5943,41,68
1516,621f79e343b89009366c996c,2021-10-28T22:00:00.000Z,markop#2007,iviangita#3204,for doing the AMA on the dashboard at Commons Stack,0,55,8,5,,,,,False,False,False,False,Mount Manu#3530,Maxwe11#7157,Nuggan#5183,enti#1546,22,55
495,621f79e243b89009366c9501,2021-10-07T22:00:00.000Z,divine_comedian#5493,iviangita#3204,"for all the work they do in the Params WG: designing, coding, validating, and troubleshooting!",55,0,13,0,,621f79e243b89009366c9300,,,False,False,False,False,hanners717#2022,Parrachia#0450,lee0007#8152,Vyvy-vi#5040,23,55
1252,621f79e343b89009366c9849,2021-10-22T22:00:00.000Z,VitorNunes#0090,Mount Manu#3530,for their hard development work in the CCD,0,5,55,8,621f79e343b89009366c9790,,,,False,False,False,False,Sha#6179,Mettodo#7010,kristofer#1475,eduardovegap#0422,17,55
1279,621f79e343b89009366c9864,2021-10-22T22:00:00.000Z,rdfbbx#6437,iviangita#3204,for developing the Rewards System together with Nuggan and Vyvy,0,8,0,55,,,621f79e343b89009366c979d,,False,False,False,False,Mount Manu#3530,tigeroid#2951,Nuggan#5183,bends#3537,21,55
1558,621f79e343b89009366c9996,2021-10-28T22:00:00.000Z,divine_comedian#5493,iviangita#3204,for the dynamism he holds to all the working groups he’s involved by bringing tasks to the finished line on a steady pace,13,55,8,0,,,,,False,False,False,False,hanners717#2022,Parrachia#0450,lee0007#8152,Vyvy-vi#5040,25,55
1518,621f79e343b89009366c996e,2021-10-28T22:00:00.000Z,divine_comedian#5493,iviangita#3204,for doing the AMA on the dashboard at Commons Stack,21,55,5,0,,,,,False,False,False,False,hanners717#2022,Parrachia#0450,lee0007#8152,Vyvy-vi#5040,27,55
1189,621f79e343b89009366c980a,2021-10-21T22:00:00.000Z,markop#2007,Mount Manu#3530,for all their work and dedication towards the dashboard,0,55,8,0,,,,621f79e243b89009366c930e,False,False,False,False,Mount Manu#3530,Maxwe11#7157,Nuggan#5183,enti#1546,21,55
909,621f79e243b89009366c96a5,2021-10-14T22:00:00.000Z,markop#2007,iviangita#3204,for their awesome work in the last weeks on the dashboard and for being capable of making the POAPs work nice,0,55,8,0,,,,621f79e243b89009366c930e,False,False,False,False,Mount Manu#3530,Maxwe11#7157,Nuggan#5183,enti#1546,21,55
14,621f79e243b89009366c930e,2021-09-30T22:00:00.000Z,markop#2007,iviangita#3204,for their support in the dashboard app,0,55,0,13,,,621f79e243b89009366c9305,,False,False,False,False,Mount Manu#3530,Maxwe11#7157,Nuggan#5183,enti#1546,23,55
1169,621f79e343b89009366c97f6,2021-10-21T22:00:00.000Z,eduardovegap#0422,Mount Manu#3530,"for their amazing Communitas work around researching, conceptualizing, managing, and optimizing anything & everything related to our onboarding journey",55,13,0,5,,,621f79e343b89009366c97c2,,False,False,False,False,Sha#6179,Maxwe11#7157,shawn#7046,enti#1546,18,55
1529,621f79e343b89009366c9979,2021-10-28T22:00:00.000Z,chuygarcia.eth#6692,iviangita#3204,for the infinite contributions they brought and continue bringing as community stewards,0,55,8,21,,,,,False,False,False,False,Mount Manu#3530,Parrachia#0450,lee0007#8152,Mike Brunt#0745,28,55
178,621f79e243b89009366c93ba,2021-10-01T22:00:00.000Z,Juankbell#7458,Mount Manu#3530,for the 2nd Graviton training 🧑🏻‍🚀,13,0,55,0,,621f79e243b89009366c932f,,621f79e243b89009366c932f,False,False,False,False,hanners717#2022,divine_comedian#5493,bear100#9085,osycross(🦎🦎)#5943,17,55
