index,ID,DATE,TO USER ACCOUNT,FROM USER ACCOUNT,REASON,SCORE 1,SCORE 2,SCORE 3,SCORE 4,DUPLICATE ID 1,DUPLICATE ID 2,DUPLICATE ID 3,DUPLICATE ID 4,DISMISSED 1,DISMISSED 2,DISMISSED 3,DISMISSED 4,QUANTIFIER 1 USERNAME,QUANTIFIER 2 USERNAME,QUANTIFIER 3 USERNAME,QUANTIFIER 4 USERNAME,AVG SCORE,SPREAD
873,621f79e243b89009366c906a,2021-09-18T22:00:00.000Z,natesuits#4789,Mount Manu#3530,for TEC Source <:TEC:835016327542210560>,144,21,1,0,,,,621f79e243b89009366c8f21,False,False,False,False,Mount Manu#3530,Mettodo#7010,bends#3537,Sha#6179,41,144
47,621f79e243b89009366c8d00,2021-09-02T22:00:00.000Z,iviangita#3204,iviangita#3204,"for all the incredible behind-the-scenes work and all the little things she’s constantly doing in the back office helping with Twitter, the board and work agreements",0,3,144,21,,,,,True,False,False,False,innov8tor3#3988,enti#1546,Maxwe11#7157,Usua◎ Silver#2618,42,144
26,621f79e243b89009366c8ceb,2021-09-01T22:00:00.000Z,elessar.eth#7945,"griff (💜, 💜)#8888","for EVM Crispr, an amazing tool",144,0,3,5,,,,,False,True,False,False,Zeptimus#3359,Mettodo#7010,acidlazzer#5796,Nuggan#5183,38,144
171,621f79e243b89009366c8d87,2021-09-02T22:00:00.000Z,fabiomendes#4802,Mount Manu#3530,for working all day with Pedro on the dashboard,144,0,0,3,,621f79e243b89009366c8d80,621f79e243b89009366c8d80,,False,False,False,False,Mount Manu#3530,AmwFund#0979,Maxwe11#7157,Nuggan#5183,36,144
1422,621f79e243b89009366c92f6,2021-09-29T22:00:00.000Z,VitorNunes#0090,divine_comedian#5493,for their magic on the CCD,0,144,21,13,621f79e243b89009366c8fbb,,,,False,False,False,False,lee0007#8152,Vyvy-vi#5040,teaci#6108,Usua◎ Silver#2618,45,144
724,621f79e243b89009366c8fd5,2021-09-17T22:00:00.000Z,Suga#8514,Mount Manu#3530,for creating the Communitas WG 🏘️,144,0,0,8,,621f79e243b89009366c8fcb,621f79e243b89009366c8ff2,,False,False,False,False,Mount Manu#3530,liviade#1387,Parrachia#0450,Nuggan#5183,38,144
368,621f79e243b89009366c8e4c,2021-09-09T22:00:00.000Z,liviade#1387,Mount Manu#3530,for all the SoftGov work,1,1,144,5,,,,,False,False,False,False,PhilH#1102,enti#1546,Parrachia#0450,Nuggan#5183,37,143
567,621f79e243b89009366c8f21,2021-09-13T22:00:00.000Z,natesuits#4789,Suga#8514,for creating TEC Source! https://app.gitbook.com/@token-engineering-commons/s/tec-source/,144,21,1,13,,,,,False,False,False,False,Mount Manu#3530,Mettodo#7010,bends#3537,Sha#6179,44,143
697,621f79e243b89009366c8fba,2021-09-17T22:00:00.000Z,kristofer#1475,Mount Manu#3530,"for his leadership in both the rewards channel and the Trusted Seed with the Commons Stack, which of course was critical for the TEC (and will be critical for other groups)",34,3,144,13,,,,,False,False,False,False,innov8tor3#3988,enti#1546,Parrachia#0450,divine_comedian#5493,48,141
381,621f79e243b89009366c8e59,2021-09-09T22:00:00.000Z,Nuggan#5183,Mount Manu#3530,for making the CCD beautiful 🦄,3,5,144,21,,,,,False,False,False,False,PhilH#1102,Vyvy-vi#5040,Maxwe11#7157,hanners717#2022,43,141
3,621f79e243b89009366c8ccf,2021-08-31T22:00:00.000Z,CurlyBracketEffect#5572,chuygarcia.eth#6692,for launching Agave <:AlvinBright:842140083179749426>,3,3,144,21,,,,,False,False,False,False,Zeptimus#3359,AmwFund#0979,Maxwe11#7157,Nuggan#5183,42,141
862,621f79e243b89009366c905f,2021-09-18T22:00:00.000Z,natesuits#4789,Mount Manu#3530,for their support in the creation of the Communitas WG 🏘️,144,5,13,5,,,,,False,False,False,False,Mount Manu#3530,Mettodo#7010,bends#3537,Sha#6179,41,139
24,621f79e243b89009366c8ce9,2021-09-01T22:00:00.000Z,fabiomendes#4802,divine_comedian#5493,for their brazilian hacking skills on the CCD,34,21,144,5,,,,,False,False,False,False,Mount Manu#3530,AmwFund#0979,Maxwe11#7157,Nuggan#5183,51,139
534,621f79e243b89009366c8efe,2021-09-11T22:00:00.000Z,r33pich33p#6906,"griff (💜, 💜)#8888",for hacking on the Sunday Funday Params Party - aka the 4 hour hack sesh,144,21,5,5,,,,,False,False,False,False,Mount Manu#3530,Vyvy-vi#5040,teaci#6108,Nuggan#5183,43,139
1401,621f79e243b89009366c92e1,2021-09-29T22:00:00.000Z,natesuits#4789,Juankbell#7458,for being the 3rd and 4rd Graviton training facilitators 🙂,144,5,8,21,,,,,False,False,False,False,Mount Manu#3530,Mettodo#7010,bends#3537,Sha#6179,44,139
326,621f79e243b89009366c8e22,2021-09-08T22:00:00.000Z,iviangita#3204,Zeptimus#3359,for finding out our twitter account as block and fix it super quick!!⚡ (We need to be carefull with bots),21,5,144,21,,,,,False,False,False,False,innov8tor3#3988,enti#1546,Maxwe11#7157,Usua◎ Silver#2618,47,139
1120,621f79e243b89009366c91b9,2021-09-23T22:00:00.000Z,elessar.eth#7945,iviangita#3204,for the amazing work on the smart contracts for the Commons Swarm,144,5,13,5,,,,,False,False,False,False,Zeptimus#3359,Mettodo#7010,acidlazzer#5796,Nuggan#5183,41,139
